epoch,seed_count,train_loss_median,train_loss_mean,train_loss_ci_low,train_loss_ci_high,val_loss_median,val_loss_mean,val_loss_ci_low,val_loss_ci_high,train_mae_median,train_mae_mean,train_mae_ci_low,train_mae_ci_high,val_mae_median,val_mae_mean,val_mae_ci_low,val_mae_ci_high
0.0,5.0,0.005818363003545254,0.005803703987713283,0.0056024208686373984,0.006006773349351827,0.005107772702021094,0.0059790687497065466,0.004067191086738647,0.010374520161433903,0.04190988729506234,0.04159576083117589,0.039732525929666085,0.04267385269960481,0.04228362395878586,0.041595979679377504,0.03501665727938678,0.050727444818104976
1.0,5.0,0.005605157222833908,0.005617826680805657,0.005157100501705784,0.006108735673781427,0.005163927782656139,0.005844377287955192,0.003979380669755508,0.009897901960096787,0.03702470280084224,0.03672567899078895,0.03528305033325972,0.03832847966532902,0.03995964693873319,0.03772007232521887,0.029876422239270208,0.044842964043992094
2.0,5.0,0.005680655279190304,0.005628923667494769,0.005270159633166117,0.005869105316645421,0.005062548765257685,0.005960076984465573,0.003985711628117337,0.010183388878009304,0.03766795708383205,0.03810365778263921,0.03403537448399162,0.041571365254934184,0.0416263550762599,0.038836515365623756,0.03261836737810117,0.043943176038729444
3.0,5.0,0.0055826685994157296,0.005572068744497305,0.0051816491023517425,0.0059967994199513,0.005164031975675654,0.005901243133341875,0.0038863803659002316,0.010071772579036629,0.036647673614742984,0.036511008447287364,0.03209940358667411,0.0388435364624301,0.0405888511176664,0.03778410116489296,0.031652428242431085,0.04228732135304318
4.0,5.0,0.005528204588274797,0.005549978335514935,0.005068282630795633,0.006061891713272063,0.005230092368665916,0.005909357678115193,0.003967797179234209,0.009995617362472115,0.036445931076211795,0.036419377501748354,0.031611628553918567,0.04039536574617386,0.0413300401207398,0.03800281492636002,0.03029297910448528,0.0421406343467044
5.0,5.0,0.005626709745857574,0.005674847489164786,0.005415708578424868,0.006139928789761241,0.005288533199424629,0.006077583233057937,0.003878141742094007,0.010520275689515853,0.036621628736867265,0.037781367059099215,0.03501624681547929,0.04110268651421532,0.040496045219259216,0.03953816789184431,0.02982541018510642,0.048781175049312044
6.0,5.0,0.005629329986327231,0.005681871787369551,0.004981328095127937,0.00656042644026095,0.005306426942421891,0.0060484180845562,0.003969880576313371,0.009880335606273518,0.036983149637173654,0.04089769835474614,0.03429185396713895,0.05759655448384507,0.045673847718726665,0.042671505914970535,0.029642709323116592,0.05408920359550578
7.0,5.0,0.005535554284396696,0.005557476923567304,0.0050998028967716245,0.006026815702242893,0.00518209866715906,0.005976744365088066,0.00401336991100788,0.01005722114799115,0.038038975606761324,0.03685912661543349,0.03200577078445967,0.039772961992610274,0.03997265145812619,0.038857023325592224,0.03470846270505297,0.04249344075754108
8.0,5.0,0.005406908886512771,0.005440681520651962,0.005014469803468518,0.005978638484943336,0.005186045225641541,0.005841993425276526,0.003813981362142097,0.009947517274938561,0.03700846071152574,0.0367096283084708,0.03408671498122738,0.03818205901658012,0.03862019568852881,0.038806282786247565,0.030315677206947406,0.05062592395308777
9.0,5.0,0.0056235779421482225,0.005596776047131928,0.005286370942710546,0.00597696303834826,0.004970025572433285,0.006021751958117072,0.004266437674239478,0.010417509102907502,0.03686099834519628,0.03796253224545023,0.03587124322946357,0.042749322445975756,0.03835230874442412,0.03966396207519359,0.03540279411113949,0.047719835314315624
10.0,5.0,0.005823772846448055,0.005754220667309901,0.0050924367637573565,0.006418551544391903,0.0052716423226171465,0.00619140159041832,0.004168769254837546,0.010142082044652528,0.040094075752129615,0.044006577349028006,0.032296644749951246,0.06600622876094028,0.04347263348017126,0.04536989469900201,0.03390335843153829,0.06250459699963852
11.0,5.0,0.00569267615086427,0.005516893279940369,0.005119434210844596,0.005712718172647915,0.0050269238858803925,0.006009131422330794,0.003816220975115076,0.010124959252550353,0.03785382762650182,0.03760031331783135,0.0339183260436978,0.04054981332366845,0.038625572841607586,0.03991835521772745,0.029403309514456112,0.04954047557200752
12.0,5.0,0.005673446633035673,0.005565150552999559,0.004906623431309128,0.006021538266630023,0.005012906497406415,0.005977152905317159,0.00406320377710884,0.009856561744745272,0.033389529141749044,0.03532478889430791,0.03161485778487385,0.04334873048209773,0.03759927667368861,0.03723774076033605,0.030216564758539722,0.043686519107296685
13.0,5.0,0.00546418741314691,0.0055000510156299155,0.005228892227272875,0.005834496649647668,0.005110669879251758,0.005925387157458909,0.00390719045708676,0.010142184367333792,0.035241112122768405,0.034953333204161316,0.03218108809286927,0.03733073011998718,0.03765554696979386,0.03669983091829323,0.02604819687311792,0.046240202117142644
14.0,5.0,0.0053114277062213805,0.005357674630777362,0.004985591208323438,0.005758183235324911,0.004997427369024303,0.005805949353846885,0.0038729623365238992,0.009964092271135386,0.03252388110952198,0.03296319388683285,0.03075451569800073,0.035776662177248786,0.03623604243970796,0.034934638757305306,0.026730827059084906,0.04262997136031812
15.0,5.0,0.00546930024092369,0.005469001840960651,0.00498986266802138,0.005976380401953117,0.005152348097367044,0.0059272789211455845,0.003827062504498839,0.0099740674582572,0.034805339903554694,0.03445150733301862,0.029015851791329126,0.03837359326883173,0.03901335565186421,0.03628792519025629,0.0302726703287763,0.03969856631700452
