study,setting,controller_name,success_rate,avg_steps,avg_path_length,avg_blocked_moves,avg_total_reward,avg_path_efficiency,avg_hazard_failures,avg_hazard_collisions,avg_decision_time_ms
planning_horizon,2,Risk-Aware MPC H2,0.6666666666666666,34.666666666666664,34.666666666666664,0.0,3.720000000000001,0.6025641025641025,0.0,0.0,1.026483281907466
planning_horizon,3,Risk-Aware MPC H3,1.0,22.333333333333332,22.333333333333332,0.0,27.47666666666667,0.9069119286510592,0.0,0.0,2.0758954761898125
planning_horizon,4,Risk-Aware MPC H4,0.6666666666666666,34.666666666666664,34.666666666666664,0.0,13.39333333333333,0.6025641025641025,0.0,0.0,3.9007472605885405
enemy_count,1,Dynamic A*,1.0,20.0,20.0,0.0,28.919999999999998,1.0,0.0,0.0,0.10983443405681224
enemy_count,1,Risk-Aware Value MPC,0.6666666666666666,33.0,22.666666666666668,0.0,15.816666666666665,0.6666666666666666,0.0,0.0,4.474028854039437
enemy_count,2,Dynamic A*,1.0,20.333333333333332,20.0,0.0,28.47,1.0,0.0,0.0,0.11486596295154768
enemy_count,2,Risk-Aware Value MPC,0.6666666666666666,33.666666666666664,33.666666666666664,0.0,13.896666666666663,0.6376811594202899,0.0,0.0,3.9495393850132317
enemy_count,3,Dynamic A*,1.0,20.333333333333332,20.0,0.0,28.323333333333334,1.0,0.0,0.0,0.1288230561565735
enemy_count,3,Risk-Aware Value MPC,0.6666666666666666,34.666666666666664,34.666666666666664,0.0,13.39333333333333,0.6025641025641025,0.0,0.0,3.8883180055084208
